id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15
59,10,35,45,0,93,120,393,313,1,0,0,1,0,0,0,0
60,4,23,6,0,68,4,156,69,0,0,0,0,0,0,0,0
61,6,56,15,0,521,20,474,278,6,0,0,1,0,0,0,0
62,2,2,1,0,0,0,19,2,0,0,0,0,0,0,0,0
63,2,6,1,0,10,0,43,6,0,0,0,0,0,0,0,0
64,4,148,6,0,8249,4,818,432,64,0,0,6,0,0,0,0
65,10,90,44,1,734,112,844,771,16,31,8,4,0,0,0,0
66,2,14,1,0,45,0,104,14,1,0,0,0,0,0,0,0
67,4,22,6,0,110,4,101,66,1,0,0,0,0,0,0,0
68,4,8,6,0,6,4,34,24,0,0,0,0,0,0,0,0
69,8,83,27,1,839,50,629,535,15,38,6,4,0,0,0,0
70,4,15,6,0,28,4,111,45,2,0,0,0,0,0,0,0
71,4,10,6,0,9,4,80,30,0,0,0,0,0,0,0,0
72,2,6,1,0,6,0,23,6,0,0,0,0,0,0,0,0
73,12,199,64,2,8215,201,1054,1903,62,264,18,8,3,1,0,0
74,10,49,44,1,230,112,257,430,1,9,8,1,0,0,0,0
75,5,20,10,0,47,10,103,76,1,0,0,2,0,0,0,0
76,4,40,6,0,470,4,379,120,5,0,0,0,0,0,0,0
77,2,10,1,0,21,0,61,10,3,0,0,0,0,0,0,0
78,4,39,6,0,387,4,308,117,7,0,0,0,0,0,0,0
79,4,13,6,0,15,4,122,39,0,0,0,0,0,0,0,0
80,4,16,6,0,25,4,116,48,2,0,0,0,0,0,0,0
81,4,147,5,1,8133,2,761,302,63,135,2,0,2,0,0,0
82,2,14,1,0,45,0,53,14,1,0,0,0,0,0,0,0
83,2,18,1,0,85,0,202,18,3,0,0,0,0,0,0,0
84,5,19,10,0,28,10,61,70,0,0,0,3,0,0,0,0
85,4,19,6,0,36,4,63,57,4,0,0,0,0,0,0,0
86,4,23,6,0,76,4,132,69,0,0,0,0,0,0,0,0
87,4,85,6,0,1071,4,631,251,10,0,0,2,0,0,0,0
88,32,355,491,5,9681,4811,2090,10723,76,224,148,26,3,1,0,0
89,12,102,65,1,762,210,798,1080,11,24,10,9,0,0,0,0
90,6,44,15,0,153,20,449,220,9,0,0,0,0,0,0,0
91,8,56,26,2,268,45,434,361,3,27,10,1,1,1,0,0
92,4,22,6,0,49,4,192,66,2,0,0,0,0,0,0,0
93,6,51,15,0,318,20,298,253,6,0,0,1,0,0,0,0
94,11,51,55,0,137,165,314,506,0,0,0,2,0,0,0,0
95,22,121,226,5,435,1442,825,2427,8,86,96,13,1,2,0,0
96,2,24,1,0,207,0,131,24,6,0,0,0,0,0,0,0
97,2,10,1,0,20,0,84,10,0,0,0,0,0,0,0,0
98,2,36,1,0,440,0,349,36,10,0,0,0,0,0,0,0
99,7,13,18,3,8,22,92,63,0,13,11,1,0,2,0,0
100,4,35,6,0,230,4,163,105,8,0,0,0,0,0,0,0
101,4,16,6,0,30,4,78,48,0,0,0,0,0,0,0,0
102,8,127,27,1,2127,50,1096,836,30,41,6,5,1,0,0,0
103,6,68,15,0,688,20,639,334,21,0,0,3,0,0,0,0
104,4,13,6,0,25,4,77,39,0,0,0,0,0,0,0,0
105,4,34,6,0,144,4,282,102,4,0,0,0,0,0,0,0
106,2,11,1,0,27,0,44,11,0,0,0,0,0,0,0,0
107,5,12,10,0,13,10,66,48,1,0,0,0,0,0,0,0
108,4,31,6,0,160,4,298,93,6,0,0,0,0,0,0,0
109,24,299,267,9,9672,1842,1773,6350,98,467,167,23,7,14,1,0
110,6,102,15,0,1645,20,721,508,15,0,0,1,0,0,0,0
111,8,27,28,0,39,56,254,189,3,0,0,0,0,0,0,0
112,6,92,12,3,1643,10,651,304,31,142,9,0,7,0,1,0
113,4,12,6,0,13,4,136,36,3,0,0,0,0,0,0,0
114,4,32,5,1,245,2,334,70,8,24,2,1,0,0,0,0
115,2,6,1,0,5,0,49,6,1,0,0,0,0,0,0,0
116,2,10,1,0,23,0,135,10,1,0,0,0,0,0,0,0
117,2,6,1,0,6,0,46,6,0,0,0,0,0,0,0,0
118,20,108,190,0,636,1140,736,2042,10,0,0,5,0,0,0,0
119,7,47,21,0,258,35,238,282,1,0,0,0,0,0,0,0
120,5,37,9,1,159,7,275,127,5,17,3,2,0,0,0,0
121,8,41,28,0,109,56,321,285,3,0,0,1,0,0,0,0
122,4,20,5,1,42,2,65,49,1,7,2,1,1,0,0,0
123,5,12,10,0,11,10,97,46,3,0,0,1,0,0,0,0
124,6,72,14,1,1482,16,564,297,36,51,4,2,4,0,0,0
125,2,13,1,0,34,0,69,13,2,0,0,0,0,0,0,0
126,6,97,9,6,1536,7,799,156,31,311,3,2,7,9,1,0
127,2,9,1,0,16,0,33,9,0,0,0,0,0,0,0,0
128,6,23,15,0,43,20,200,115,2,0,0,0,0,0,0,0
129,4,12,6,0,15,4,69,36,1,0,0,0,0,0,0,0
130,4,44,5,1,461,2,407,98,4,34,2,0,0,0,0,0
131,2,6,1,0,6,0,30,6,0,0,0,0,0,0,0,0
132,6,36,15,0,104,20,244,180,4,0,0,0,0,0,0,0
133,10,91,41,4,1419,92,640,628,30,161,24,5,10,4,0,0
134,2,13,1,0,47,0,119,13,1,0,0,0,0,0,0,0
135,4,35,6,0,269,4,363,105,9,0,0,0,0,0,0,0
136,2,8,1,0,13,0,27,8,0,0,0,0,0,0,0,0
137,6,17,15,0,17,20,105,83,1,0,0,1,0,0,0,0
138,4,17,5,1,26,2,195,42,3,5,2,0,2,0,0,0
139,7,111,15,6,1951,13,782,406,36,236,14,1,11,8,0,0
140,2,13,1,0,48,0,47,13,0,0,0,0,0,0,0,0
141,4,16,6,0,30,4,148,48,1,0,0,0,0,0,0,0
142,4,27,5,1,100,2,241,65,3,16,2,0,0,0,0,0
143,4,47,6,0,428,4,223,141,5,0,0,0,0,0,0,0
144,5,19,10,0,28,10,143,74,2,0,0,1,0,0,0,0
145,7,81,20,1,1567,30,546,476,16,6,5,2,0,0,0,0
146,6,30,15,0,78,20,250,148,1,0,0,1,0,0,0,0
147,2,7,1,0,9,0,26,7,0,0,0,0,0,0,0,0
148,6,31,14,1,86,16,166,151,0,4,4,0,0,0,0,0
149,6,30,15,0,66,20,216,150,2,0,0,0,0,0,0,0
150,4,14,6,0,20,4,54,42,0,0,0,0,0,0,0,0
151,4,21,6,0,46,4,229,63,3,0,0,0,0,0,0,0
152,4,41,6,0,290,4,269,123,7,0,0,0,0,0,0,0
153,6,60,12,3,619,11,673,239,22,49,6,4,2,3,0,0
154,11,166,53,2,8006,148,984,1395,63,259,16,2,1,1,0,0
155,7,166,18,3,8073,22,837,717,62,275,11,1,1,2,0,0
156,6,42,14,1,214,16,471,199,1,9,4,0,1,0,0,0
157,5,20,10,0,39,10,211,80,1,0,0,0,0,0,0,0
158,5,100,10,0,2059,10,739,398,14,0,0,1,0,0,0,0
159,4,21,6,0,48,4,468,61,4,0,0,1,0,0,0,0
160,7,153,20,1,8233,30,846,896,65,12,5,5,0,0,0,0
161,2,22,1,0,174,0,112,22,0,0,0,0,0,0,0,0
162,6,43,14,1,446,16,431,181,4,32,4,1,0,0,0,0
163,2,10,1,0,19,0,86,10,1,0,0,0,0,0,0,0
164,2,10,1,0,24,0,58,10,0,0,0,0,0,0,0,0
165,4,38,6,0,386,4,231,114,4,0,0,0,0,0,0,0
166,2,6,1,0,10,0,36,6,0,0,0,0,0,0,0,0
167,4,13,6,0,21,4,51,37,0,0,0,1,0,0,0,0
168,4,12,6,0,12,4,82,34,0,0,0,1,0,0,0,0
169,4,63,6,0,1430,4,499,189,10,0,0,0,0,0,0,0
170,4,20,6,0,51,4,158,60,1,0,0,0,0,0,0,0
171,4,30,6,0,126,4,279,88,1,0,0,1,0,0,0,0
172,5,25,9,1,66,7,163,95,1,5,3,0,0,0,0,0
173,5,32,10,0,119,10,151,126,4,0,0,1,0,0,0,0
174,5,30,10,0,128,10,281,120,7,0,0,0,0,0,0,0
175,8,36,28,0,94,56,253,250,3,0,0,1,0,0,0,0
176,4,19,6,0,56,4,156,57,2,0,0,0,0,0,0,0
177,6,29,14,1,91,16,158,129,4,12,4,1,1,0,0,0
178,2,6,1,0,9,0,31,6,1,0,0,0,0,0,0,0
179,4,27,6,0,87,4,253,81,3,0,0,0,0,0,0,0
180,10,150,45,0,2416,120,1170,1324,24,0,0,13,0,0,0,0
181,5,23,10,0,64,10,225,92,4,0,0,0,0,0,0,0
182,3,7,2,1,7,0,33,11,0,3,1,0,0,0,0,0
183,3,5,2,1,2,0,21,7,0,3,1,0,0,0,0,0
184,2,31,1,0,371,0,305,31,10,0,0,0,0,0,0,0
185,4,15,6,0,32,4,118,45,0,0,0,0,0,0,0,0
186,8,57,28,0,651,56,323,399,4,0,0,0,0,0,0,0
187,2,17,1,0,65,0,103,17,1,0,0,0,0,0,0,0
188,2,16,1,0,55,0,190,16,2,0,0,0,0,0,0,0
189,4,20,6,0,47,4,290,60,1,0,0,0,0,0,0,0
190,2,9,1,0,17,0,41,9,1,0,0,0,0,0,0,0
191,6,106,14,1,1845,16,783,453,40,67,4,0,5,0,0,0
192,2,13,1,0,47,0,113,13,1,0,0,0,0,0,0,0
193,4,8,6,0,6,4,35,24,0,0,0,0,0,0,0,0
194,4,12,6,0,13,4,110,36,0,0,0,0,0,0,0,0
195,1,2,0,0,1,0,8,0,0,0,0,0,0,0,0,0
196,4,14,6,0,18,4,124,42,1,0,0,0,0,0,0,0
197,4,16,5,1,37,2,140,36,0,12,2,0,0,0,0,0
198,2,6,1,0,5,0,206,6,1,0,0,0,0,0,0,0
199,4,63,6,0,1531,4,433,189,15,0,0,0,0,0,0,0
200,4,14,6,0,21,4,112,40,1,0,0,1,0,0,0,0
201,7,42,20,1,387,30,182,246,4,6,5,0,0,0,0,0
202,4,10,6,0,9,4,162,30,0,0,0,0,0,0,0,0
203,5,17,10,0,31,10,212,68,2,0,0,0,0,0,0,0
204,2,7,1,0,9,0,42,7,0,0,0,0,0,0,0,0
205,2,10,1,0,20,0,57,10,1,0,0,0,0,0,0,0
206,2,4,1,0,3,0,15,4,0,0,0,0,0,0,0,0
207,2,2,1,0,0,0,8,2,0,0,0,0,0,0,0,0
208,2,6,1,0,10,0,14,6,0,0,0,0,0,0,0,0
209,2,13,1,0,48,0,81,13,0,0,0,0,0,0,0,0
210,11,68,55,0,515,165,396,676,7,0,0,2,0,0,0,0
211,4,51,6,0,525,4,474,149,5,0,0,2,0,0,0,0
212,2,11,1,0,26,0,56,11,1,0,0,0,0,0,0,0
213,5,13,9,1,14,7,41,43,1,7,3,1,0,0,0,0
214,2,9,1,0,15,0,25,9,1,0,0,0,0,0,0,0
215,3,17,3,0,54,1,178,34,2,0,0,0,0,0,0,0
216,3,6,3,0,4,1,27,12,0,0,0,0,0,0,0,0
217,4,12,6,0,13,4,152,36,0,0,0,0,0,0,0,0
218,12,74,66,0,263,220,793,804,4,0,0,5,0,0,0,0
219,2,14,1,0,58,0,89,14,0,0,0,0,0,0,0,0
220,3,4,3,0,3,1,16,8,0,0,0,0,0,0,0,0
221,1,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0
222,2,12,1,0,38,0,111,12,1,0,0,0,0,0,0,0
223,4,65,6,0,1441,4,488,195,10,0,0,0,0,0,0,0
224,2,8,1,0,13,0,23,8,0,0,0,0,0,0,0,0
225,2,4,1,0,3,0,38,4,0,0,0,0,0,0,0,0
226,2,10,1,0,35,0,72,10,1,0,0,0,0,0,0,0
227,2,136,1,0,8214,0,712,134,63,0,0,1,0,0,0,0
228,6,42,15,0,164,20,302,210,5,0,0,0,0,0,0,0
229,6,91,14,1,1605,16,726,387,16,66,4,0,1,0,0,0
230,6,17,15,0,25,20,138,85,1,0,0,0,0,0,0,0
231,10,70,44,1,391,112,722,618,12,6,8,3,0,0,0,0
232,6,72,14,1,1558,16,499,348,15,10,4,1,0,0,0,0
233,2,6,1,0,6,0,44,6,0,0,0,0,0,0,0,0
234,4,10,6,0,13,4,57,30,0,0,0,0,0,0,0,0
235,2,8,1,0,12,0,80,8,1,0,0,0,0,0,0,0
236,11,106,54,1,1717,156,758,975,40,67,9,4,5,0,0,0
237,2,15,1,0,54,0,139,15,1,0,0,0,0,0,0,0
238,2,16,1,0,68,0,167,14,4,0,0,1,0,0,0,0
239,13,147,75,3,1967,254,916,1607,47,139,31,7,2,1,0,0
240,4,8,5,1,6,2,33,18,0,6,2,0,0,0,0,0
241,2,4,1,0,2,0,9,4,1,0,0,0,0,0,0,0
242,4,27,6,0,134,4,217,81,2,0,0,0,0,0,0,0
243,5,68,10,0,1541,10,461,272,15,0,0,0,0,0,0,0
244,6,32,15,0,87,20,504,158,1,0,0,1,0,0,0,0
245,4,16,6,0,30,4,66,48,0,0,0,0,0,0,0,0
246,6,17,15,0,22,20,123,85,0,0,0,0,0,0,0,0
247,2,9,1,0,16,0,24,9,0,0,0,0,0,0,0,0
248,3,8,3,0,6,1,41,16,1,0,0,0,0,0,0,0
249,4,17,6,0,35,4,71,51,0,0,0,0,0,0,0,0
250,2,6,1,0,6,0,39,6,0,0,0,0,0,0,0,0
251,4,17,6,0,63,4,81,51,6,0,0,0,0,0,0,0
252,4,21,6,0,54,4,164,63,1,0,0,0,0,0,0,0
253,3,6,3,0,4,1,33,12,0,0,0,0,0,0,0,0
254,3,19,3,0,71,1,94,38,6,0,0,0,0,0,0,0
255,6,39,15,0,216,20,240,195,1,0,0,0,0,0,0,0
256,2,8,1,0,12,0,45,8,1,0,0,0,0,0,0,0
257,4,21,6,0,56,4,283,63,4,0,0,0,0,0,0,0
258,8,50,28,0,276,56,181,342,8,0,0,4,0,0,0,0
259,4,10,6,0,21,4,56,30,0,0,0,0,0,0,0,0
260,2,6,1,0,6,0,25,6,0,0,0,0,0,0,0,0
261,4,35,6,0,262,4,209,105,8,0,0,0,0,0,0,0
262,2,11,1,0,26,0,104,11,1,0,0,0,0,0,0,0
263,4,28,6,0,106,4,414,82,3,0,0,1,0,0,0,0
264,5,22,10,0,53,10,118,86,2,0,0,1,0,0,0,0
265,2,11,1,0,25,0,86,11,2,0,0,0,0,0,0,0
266,4,13,6,0,45,4,63,39,0,0,0,0,0,0,0,0
267,4,21,6,0,70,4,345,61,3,0,0,1,0,0,0,0
268,4,17,6,0,29,4,95,51,0,0,0,0,0,0,0,0
269,6,14,15,0,15,20,73,70,1,0,0,0,0,0,0,0
270,4,37,6,0,232,4,278,109,2,0,0,1,0,0,0,0
271,5,22,10,0,53,10,188,88,2,0,0,0,0,0,0,0
272,2,34,1,0,463,0,383,34,5,0,0,0,0,0,0,0
273,4,30,6,0,207,4,181,88,1,0,0,1,0,0,0,0
274,4,24,6,0,91,4,252,72,3,0,0,0,0,0,0,0
275,4,24,6,0,92,4,281,72,2,0,0,0,0,0,0,0
276,4,14,6,0,19,4,79,42,0,0,0,0,0,0,0,0
277,6,46,15,0,479,20,402,230,5,0,0,0,0,0,0,0
278,2,8,1,0,13,0,56,8,0,0,0,0,0,0,0,0
279,9,51,36,0,163,84,409,406,7,0,0,1,0,0,0,0
280,2,17,1,0,62,0,127,17,2,0,0,0,0,0,0,0
281,8,171,28,0,8318,56,965,1191,64,0,0,3,0,0,0,0
282,2,8,1,0,13,0,39,8,0,0,0,0,0,0,0,0
283,2,13,1,0,64,0,56,13,2,0,0,0,0,0,0,0
284,4,14,6,0,18,4,40,36,0,0,0,3,0,0,0,0
285,4,12,6,0,12,4,71,36,0,0,0,0,0,0,0,0
286,4,30,6,0,145,4,209,88,2,0,0,1,0,0,0,0
287,2,2,1,0,0,0,6,2,0,0,0,0,0,0,0,0
288,2,4,1,0,3,0,15,4,0,0,0,0,0,0,0,0
289,4,73,6,0,1542,4,541,219,39,0,0,0,0,0,0,0
290,6,20,15,0,29,20,161,98,1,0,0,1,0,0,0,0
291,2,4,1,0,3,0,12,4,0,0,0,0,0,0,0,0
292,2,4,1,0,3,0,21,4,0,0,0,0,0,0,0,0
293,2,39,1,0,629,0,297,39,4,0,0,0,0,0,0,0
294,4,36,6,0,376,4,407,106,11,0,0,1,0,0,0,0
295,4,22,6,0,72,4,126,66,6,0,0,0,0,0,0,0
296,4,16,6,0,25,4,81,48,1,0,0,0,0,0,0,0
297,6,19,14,1,26,16,94,88,1,7,4,0,0,0,0,0
298,4,17,6,0,29,4,55,49,0,0,0,1,0,0,0,0
299,5,21,10,0,57,10,94,84,0,0,0,0,0,0,0,0
300,4,27,6,0,163,4,201,81,3,0,0,0,0,0,0,0
301,4,14,6,0,17,4,114,42,1,0,0,0,0,0,0,0
302,5,68,9,1,1464,7,435,207,36,55,3,3,2,0,0,0
303,4,26,6,0,70,4,341,72,10,0,0,3,0,0,0,0
304,6,80,15,0,1593,20,726,396,17,0,0,2,0,0,0,0
305,4,71,6,0,1531,4,488,211,39,0,0,1,0,0,0,0
306,57,362,1557,39,2833,27210,2387,19241,31,895,1957,60,8,91,2,0
307,2,59,1,0,1504,0,370,59,39,0,0,0,0,0,0,0
308,6,76,12,3,1420,11,510,204,34,172,6,0,2,3,0,0
309,4,39,6,0,384,4,397,115,10,0,0,1,0,0,0,0
310,14,111,90,1,1038,352,889,1397,19,12,12,17,0,0,0,0
311,6,114,15,0,2237,20,938,558,20,0,0,6,0,0,0,0
312,4,150,6,0,8266,4,866,446,65,0,0,2,0,0,0,0
313,2,18,1,0,107,0,132,18,1,0,0,0,0,0,0,0
314,4,65,6,0,1438,4,527,193,13,0,0,1,0,0,0,0
315,6,22,15,0,30,20,359,108,2,0,0,1,0,0,0,0
316,10,206,44,1,8710,112,1174,1815,70,27,8,5,1,0,0,0
317,2,24,1,0,244,0,308,24,9,0,0,0,0,0,0,0
318,4,18,6,0,34,4,293,54,3,0,0,0,0,0,0,0
319,2,8,1,0,13,0,50,8,0,0,0,0,0,0,0,0
320,4,18,6,0,77,4,161,54,4,0,0,0,0,0,0,0
321,4,12,6,0,16,4,54,36,0,0,0,0,0,0,0,0
322,2,7,1,0,8,0,64,7,1,0,0,0,0,0,0,0
323,5,54,9,1,509,7,518,175,4,39,3,1,0,0,0,0
324,4,16,6,0,26,4,166,48,0,0,0,0,0,0,0,0
325,4,42,6,0,449,4,441,126,7,0,0,0,0,0,0,0
326,4,24,6,0,76,4,255,72,3,0,0,0,0,0,0,0
327,6,21,15,0,28,20,204,101,0,0,0,2,0,0,0,0
328,4,140,6,0,8209,4,727,416,63,0,0,2,0,0,0,0
329,4,67,5,1,1468,2,672,140,36,55,2,1,2,0,0,0
330,4,149,6,0,8286,4,917,441,67,0,0,3,0,0,0,0
331,2,34,1,0,462,0,364,34,6,0,0,0,0,0,0,0
332,6,67,15,0,1433,20,476,335,10,0,0,0,0,0,0,0
333,4,14,6,0,18,4,129,42,1,0,0,0,0,0,0,0
334,4,36,5,1,231,2,226,79,4,29,2,0,0,0,0,0
335,2,8,1,0,13,0,40,8,0,0,0,0,0,0,0,0
336,2,16,1,0,80,0,121,16,1,0,0,0,0,0,0,0
337,4,22,6,0,67,4,491,58,4,0,0,4,0,0,0,0
338,4,17,6,0,41,4,73,51,6,0,0,0,0,0,0,0
339,2,9,1,0,18,0,49,9,0,0,0,0,0,0,0,0
340,2,8,1,0,12,0,58,8,1,0,0,0,0,0,0,0
341,6,155,15,0,8293,20,849,765,66,0,0,5,0,0,0,0
342,4,69,6,0,1524,4,547,207,39,0,0,0,0,0,0,0
343,4,20,6,0,67,4,201,60,1,0,0,0,0,0,0,0
344,6,25,15,0,54,20,129,125,0,0,0,0,0,0,0,0
345,2,4,1,0,3,0,16,4,0,0,0,0,0,0,0,0
346,4,16,6,0,27,4,188,48,3,0,0,0,0,0,0,0
347,6,32,14,1,97,16,223,146,3,14,4,0,0,0,0,0
348,6,18,15,0,21,20,66,90,1,0,0,0,0,0,0,0
349,4,11,6,0,14,4,99,33,0,0,0,0,0,0,0,0
350,11,86,54,1,1497,156,536,781,36,57,9,9,2,0,0,0
351,2,8,1,0,13,0,27,8,0,0,0,0,0,0,0,0
352,4,12,6,0,24,4,76,36,0,0,0,0,0,0,0,0
353,4,32,5,1,237,2,332,70,8,24,2,1,0,0,0,0
354,4,9,5,1,10,2,45,24,1,3,2,0,0,0,0,0
355,2,12,1,0,38,0,43,12,1,0,0,0,0,0,0,0
356,6,33,15,0,144,20,231,165,2,0,0,0,0,0,0,0
357,6,22,15,0,40,20,270,110,0,0,0,0,0,0,0,0
358,2,10,1,0,20,0,46,10,0,0,0,0,0,0,0,0
359,4,21,6,0,48,4,200,63,1,0,0,0,0,0,0,0
360,4,46,6,0,668,4,365,138,11,0,0,0,0,0,0,0
361,2,6,1,0,6,0,61,6,0,0,0,0,0,0,0,0
362,2,11,1,0,45,0,86,11,0,0,0,0,0,0,0,0
363,2,37,1,0,626,0,272,37,4,0,0,0,0,0,0,0
364,9,45,35,1,123,77,577,343,7,9,7,4,0,0,0,0
365,4,19,6,0,47,4,79,57,1,0,0,0,0,0,0,0
366,6,22,15,0,39,20,118,110,1,0,0,0,0,0,0,0
367,4,25,6,0,76,4,212,75,3,0,0,0,0,0,0,0
368,8,48,27,1,138,50,233,314,2,12,6,3,2,0,0,0
369,2,4,0,1,2,0,11,0,0,2,0,0,1,0,0,0
370,6,27,13,2,51,12,168,114,2,17,8,1,1,0,0,0
371,8,66,26,2,773,45,565,445,13,13,10,1,1,1,0,0
372,4,138,5,1,8083,2,709,280,61,130,2,1,1,0,0,0
373,4,32,6,0,214,4,152,94,1,0,0,1,0,0,0,0
374,7,25,21,0,38,35,150,146,4,0,0,2,0,0,0,0
375,4,24,4,2,141,1,118,32,2,36,2,0,2,1,0,0
376,4,22,6,0,52,4,220,66,3,0,0,0,0,0,0,0
377,6,19,15,0,20,20,137,95,1,0,0,0,0,0,0,0
378,4,17,5,1,32,2,71,45,0,6,2,0,0,0,0,0
379,7,25,21,0,42,35,147,150,1,0,0,0,0,0,0,0
380,3,62,3,0,1437,1,472,124,10,0,0,0,0,0,0,0
381,4,12,5,1,13,2,58,30,0,6,2,0,0,0,0,0
382,4,11,6,0,11,4,54,33,1,0,0,0,0,0,0,0
383,4,44,6,0,407,4,413,130,12,0,0,1,0,0,0,0
384,2,11,1,0,44,0,108,11,1,0,0,0,0,0,0,0
385,4,10,5,1,8,2,21,26,0,2,2,0,1,0,0,0
386,4,10,6,0,12,4,22,30,1,0,0,0,0,0,0,0
387,4,65,6,0,1509,4,388,195,40,0,0,0,0,0,0,0
388,4,15,6,0,20,4,132,45,2,0,0,0,0,0,0,0
389,8,96,27,1,1691,50,732,645,20,23,6,2,0,0,0,0
390,2,7,1,0,11,0,20,7,0,0,0,0,0,0,0,0
391,6,16,15,0,19,20,129,80,3,0,0,0,0,0,0,0
392,7,42,18,3,196,22,265,212,5,36,11,2,0,2,0,0
393,2,11,1,0,22,0,58,11,3,0,0,0,0,0,0,0
394,5,25,10,0,62,10,95,96,1,0,0,2,0,0,0,0
395,3,11,3,0,17,1,85,22,0,0,0,0,0,0,0,0
396,2,10,1,0,20,0,45,10,0,0,0,0,0,0,0,0
397,4,17,6,0,37,4,130,51,0,0,0,0,0,0,0,0
398,2,12,1,0,31,0,65,12,0,0,0,0,0,0,0,0
399,6,30,14,1,106,16,195,137,1,13,4,0,0,0,0,0
400,2,10,1,0,19,0,48,10,1,0,0,0,0,0,0,0
401,5,39,10,0,381,10,416,156,7,0,0,0,0,0,0,0
402,6,47,11,4,278,8,255,177,7,54,9,1,1,2,1,0
403,8,33,28,0,67,56,242,231,4,0,0,0,0,0,0,0
404,2,8,1,0,12,0,244,8,1,0,0,0,0,0,0,0
